timestamp,temperatura
2025-12-11 16:50:12,48
2025-12-11 16:50:17,8
2025-12-11 16:50:22,4
2025-12-11 16:50:27,27
2025-12-11 16:50:32,16
2025-12-11 16:50:37,9
2025-12-11 16:50:42,14
2025-12-11 16:50:47,25
2025-12-11 16:50:52,47
2025-12-11 16:50:57,35
2025-12-11 16:51:02,7
2025-12-11 16:51:07,7
2025-12-11 16:51:12,45
2025-12-11 16:51:17,43
2025-12-11 16:51:22,35
2025-12-11 16:51:27,40
2025-12-11 16:51:32,28
2025-12-11 16:51:37,3
2025-12-11 16:51:42,14
2025-12-11 16:51:47,1
2025-12-11 16:51:52,49
2025-12-11 16:51:57,23
2025-12-11 16:52:02,16
2025-12-11 16:52:07,17
2025-12-11 16:52:12,39
2025-12-11 16:52:17,27
2025-12-11 16:52:22,14
2025-12-11 16:52:27,45
2025-12-11 16:52:32,46
2025-12-11 16:52:37,27
2025-12-11 16:52:42,42
2025-12-11 16:52:47,39
2025-12-11 16:52:52,19
2025-12-11 16:52:57,34
2025-12-11 16:53:02,5
2025-12-11 16:53:07,1
2025-12-11 16:53:12,31
2025-12-11 16:53:17,21
2025-12-11 16:53:22,16
2025-12-11 16:53:27,23
2025-12-11 16:53:32,45
2025-12-11 16:53:37,15
2025-12-11 16:53:42,40
2025-12-11 16:53:47,1
2025-12-11 16:53:52,30
2025-12-11 16:53:57,41
2025-12-11 16:54:02,42
2025-12-11 16:54:07,21
2025-12-11 16:54:12,19
2025-12-11 16:54:17,38
2025-12-11 16:54:22,9
2025-12-11 16:54:27,8
2025-12-11 16:54:32,19
2025-12-11 16:54:37,6
2025-12-11 16:54:42,25
2025-12-11 16:54:47,19
2025-12-11 16:54:52,1
2025-12-11 16:54:57,37
2025-12-11 16:55:02,19
2025-12-11 16:55:07,43
2025-12-11 16:55:12,7
2025-12-11 16:55:17,14
2025-12-11 16:55:22,4
2025-12-11 16:55:27,37
2025-12-11 16:55:32,48
2025-12-11 16:55:37,14
2025-12-11 16:55:42,14
2025-12-11 16:55:47,18
2025-12-11 16:55:52,41
2025-12-11 16:55:57,8
2025-12-11 16:56:02,9
2025-12-11 16:56:07,14
2025-12-11 16:56:12,30
2025-12-11 16:56:17,11
2025-12-11 16:56:22,37
2025-12-11 16:56:27,35
2025-12-11 16:56:32,11
2025-12-11 16:56:37,6
2025-12-11 16:56:42,11
2025-12-11 16:56:47,26
2025-12-11 16:56:52,5
2025-12-11 16:56:57,42
2025-12-11 16:57:02,34
2025-12-11 16:57:07,36
2025-12-11 16:57:12,38
2025-12-11 16:57:17,14
2025-12-11 16:57:22,44
2025-12-11 16:57:27,1
2025-12-11 16:57:32,21
2025-12-11 16:57:37,2
2025-12-11 16:57:42,30
2025-12-11 16:57:47,17
2025-12-11 16:57:52,17
2025-12-11 16:57:57,14
2025-12-11 16:58:02,42
2025-12-11 16:58:07,9
2025-12-11 16:58:12,26
2025-12-11 16:58:17,16
2025-12-11 16:58:22,21
2025-12-11 16:58:27,48
2025-12-11 16:58:32,41
2025-12-11 16:58:37,22
